realtime_start,value,date,realtime_end
2019-12-06,156309,1952-01-01,2019-12-06
2019-12-06,156527,1952-02-01,2019-12-06
2019-12-06,156731,1952-03-01,2019-12-06
2019-12-06,156943,1952-04-01,2019-12-06
2019-12-06,157140,1952-05-01,2019-12-06
2019-12-06,157343,1952-06-01,2019-12-06
2019-12-06,157553,1952-07-01,2019-12-06
2019-12-06,157798,1952-08-01,2019-12-06
2019-12-06,158053,1952-09-01,2019-12-06
2019-12-06,158306,1952-10-01,2019-12-06
2019-12-06,158451,1952-11-01,2019-12-06
2019-12-06,158757,1952-12-01,2019-12-06
2019-12-06,158973,1953-01-01,2019-12-06
2019-12-06,159170,1953-02-01,2019-12-06
2019-12-06,159349,1953-03-01,2019-12-06
2019-12-06,159556,1953-04-01,2019-12-06
2019-12-06,159745,1953-05-01,2019-12-06
2019-12-06,159956,1953-06-01,2019-12-06
2019-12-06,160184,1953-07-01,2019-12-06
2019-12-06,160449,1953-08-01,2019-12-06
2019-12-06,160718,1953-09-01,2019-12-06
2019-12-06,160978,1953-10-01,2019-12-06
2019-12-06,161223,1953-11-01,2019-12-06
2019-12-06,161453,1953-12-01,2019-12-06
2019-12-06,161690,1954-01-01,2019-12-06
2019-12-06,161912,1954-02-01,2019-12-06
2019-12-06,162124,1954-03-01,2019-12-06
2019-12-06,162350,1954-04-01,2019-12-06
2019-12-06,162564,1954-05-01,2019-12-06
2019-12-06,162790,1954-06-01,2019-12-06
2019-12-06,163026,1954-07-01,2019-12-06
2019-12-06,163290,1954-08-01,2019-12-06
2019-12-06,163570,1954-09-01,2019-12-06
2019-12-06,163847,1954-10-01,2019-12-06
2019-12-06,164107,1954-11-01,2019-12-06
2019-12-06,164349,1954-12-01,2019-12-06
2019-12-06,164588,1955-01-01,2019-12-06
2019-12-06,164809,1955-02-01,2019-12-06
2019-12-06,165018,1955-03-01,2019-12-06
2019-12-06,165251,1955-04-01,2019-12-06
2019-12-06,165463,1955-05-01,2019-12-06
2019-12-06,165695,1955-06-01,2019-12-06
2019-12-06,165931,1955-07-01,2019-12-06
2019-12-06,166192,1955-08-01,2019-12-06
2019-12-06,166473,1955-09-01,2019-12-06
2019-12-06,166755,1955-10-01,2019-12-06
2019-12-06,167023,1955-11-01,2019-12-06
2019-12-06,167270,1955-12-01,2019-12-06
2019-12-06,167513,1956-01-01,2019-12-06
